"","SubPathID","SubPathway","Size","Gene","Centralscore","Pvalue","FDR"
"12","00052_2","Galactose metabolism","23","GALM,AKR1B1,G6PC,GALE,GALK1,GALT,GCK,B4GALT1,GLA,GLB1,HK1,HK2,HK3,LALBA,LCT,PGM1,PGM2,AKR1B10,G6PC2,UGP2,HKDC1,B4GALT2,G6PC3",0.0015,0,0
"13","00061_2","Fatty acid biosynthesis","13","ACSL1,ACSL3,ACSL4,FASN,ACSBG1,ACSL6,MCAT,ACACA,ACACB,ACSL5,OXSM,OLAH,ACSBG2",0.0015,0,0
"14","00062_8","Fatty acid elongation","13","ACOT2,ACOT7,THEM4,ACOT4,HACD2,THEM5,HACD4,HSD17B12,HACD3,ELOVL2,ELOVL5,ACOT1,ELOVL1,ELOVL4,ELOVL6,ELOVL7,ELOVL3,HACD1,TECR",0.0015,0,0
"15","00062_9","Fatty acid elongation","8","ACAA2,ECHS1,HADHA,HADHB,HADH,MECR,PPT1,PPT2",0.0015,0,0
"16","00071_1","Fatty acid degradation","17","ACAA2,ECHS1,EHHADH,GCDH,ACAA1,HADHA,HADHB,HADH,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACAT2,ACOX1,ACOX3",0.0015,0,0
"17","00100_2","Steroid biosynthesis","8","CEL,EBP,DHCR7,DHCR24,LIPA,SC5D,SOAT1,SOAT2",0.0015,0,0
"18","00100_6","Steroid biosynthesis","6","CYP51A1,DHCR24,LSS,MSMO1,SQLE,TM7SF2",0.0015,0,0
"19","00100_7","Steroid biosynthesis","6","CYP51A1,DHCR24,NSDHL,HSD17B7,MSMO1,TM7SF2",0.0015,0,0
"20","00120_1","Primary bile acid biosynthesis","9","CYP46A1,CYP7A1,CYP8B1,CYP27A1,CYP39A1,AKR1D1,HSD3B7,CH25H,CYP7B1",0.0015,0,0
"21","00120_11","Primary bile acid biosynthesis","6","ACOT8,SLC27A5,HSD17B4,BAAT,SCP2,ACOX2",0.0015,0,0
"22","00120_19","Primary bile acid biosynthesis","5","SLC27A5,CYP27A1,AMACR,HSD17B4,ACOX2",0.0015,0,0
"23","00140_10","Steroid hormone biosynthesis","48","UGT2B11,UGT2A1,AKR1C4,CYP1A1,CYP1A2,CYP3A7,CYP2E1,CYP3A4,CYP3A5,CYP7A1,CYP11A1,CYP11B1,CYP11B2,CYP17A1,CYP19A1,CYP21A2,AKR1C1,HSD3B1,HSD3B2,HSD11B1,HSD17B3,HSD17B2,STS,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,UGT2A2,SRD5A1,SRD5A2,AKR1D1,SULT2B1,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,HSD17B8,SRD5A3,UGT2A3,HSD17B6,AKR1C3",0.0015,0,0
"24","00220_2","Arginine biosynthesis","19","CPS1,NAGS,GLS2,GLS,GLUD1,GLUD2,GLUL,GOT1,GOT2,GPT,ARG1,ARG2,ASS1,NOS1,NOS2,NOS3,OTC,GPT2,ACY1",0.0015,0,0
"25","00230_5","Purine metabolism","10","NUDT5,PRPS1L1,GART,PGM1,NUDT9,PPAT,PGM2,PRPS1,PRPS2,ADPRM",0.0015,0,0
"26","00230_6","Purine metabolism","5","PAICS,ADSL,GART,APRT,ATIC",0.0015,0,0
"27","00232_1","Caffeine metabolism","5","NAT2,CYP1A2,CYP2A6,XDH,NAT1",0.0015,0,0
"28","00250_1","Alanine, aspartate and glutamate metabolism","17","ADSSL1,ADSL,ADSS,FOLH1,IL4I1,GOT1,GOT2,RIMKLA,NAT8L,ASL,ASNS,ASPA,ASS1,NIT2,RIMKLB,CAD,DDO",0.0015,0,0
"29","00250_3","Alanine, aspartate and glutamate metabolism","16","CPS1,ABAT,GAD1,GAD2,GFPT1,GLS2,GLS,GLUD1,GLUD2,GLUL,PPAT,NIT2,CAD,ALDH5A1,ALDH4A1,GFPT2",0.0015,0,0
"30","00260_1","Glycine, serine and threonine metabolism","25","SDS,SDSL,CTH,DAO,DLD,SARDH,AGXT,ALAS1,ALAS2,GCAT,GAMT,GATM,GNMT,GLDC,AMT,DMGDH,PSAT1,PIPOX,PSPH,SRR,SHMT1,SHMT2,AGXT2,CBS,GRHPR",0.0015,0,0
"31","00260_2","Glycine, serine and threonine metabolism","7","SARDH,GNMT,DMGDH,ALDH7A1,PIPOX,CHDH,BHMT",0.0015,0,0
"32","00260_5","Glycine, serine and threonine metabolism","16","SDS,SDSL,GLYCTK,AGXT,PHGDH,PSAT1,PGAM4,PGAM1,PGAM2,PSPH,SRR,SHMT1,SHMT2,BPGM,CBS,GRHPR",0.0015,0,0
"33","00270_3","Cysteine and methionine metabolism","13","IL4I1,AMD1,MAT2B,MAT1A,MAT2A,MTAP,APIP,ADI1,ENOPH1,SMS,SRM,TAT,MRI1",0.0015,0,0
"34","00270_6","Cysteine and methionine metabolism","22","CDO1,AHCYL1,CTH,DNMT1,DNMT3A,DNMT3B,AHCY,AHCYL2,BHMT2,IL4I1,MAT2B,GOT1,GOT2,MAT1A,MAT2A,MTR,BCAT1,BCAT2,BHMT,AGXT2,TAT,CBS",0.0015,0,0
"35","00270_8","Cysteine and methionine metabolism","23","CDO1,AHCYL1,CTH,LDHAL6A,AHCY,AHCYL2,BHMT2,GCLC,GCLM,GOT1,GOT2,LDHA,LDHB,LDHC,MPST,MTR,BCAT1,BCAT2,BHMT,AGXT2,TST,CBS,LDHAL6B",0.0015,0,0
"36","00280_2","Valine, leucine and isoleucine degradation","10","DBT,DLD,ACAD8,ACADM,ACADS,ACADSB,BCAT1,BCAT2,BCKDHA,BCKDHB",0.0015,0,0
"37","00280_3","Valine, leucine and isoleucine degradation","12","DBT,DLD,ECHS1,EHHADH,HADHA,ACADM,IVD,AUH,MCCC1,BCKDHA,BCKDHB,MCCC2",0.0015,0,0
"38","00280_7","Valine, leucine and isoleucine degradation","31","ACAA2,HIBADH,ABAT,ECHS1,EHHADH,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,ACAA1,HSD17B10,HADHA,HADHB,HADH,HMGCL,HMGCS1,HMGCS2,AOX1,ACAT1,ACAT2,ALDH6A1,ALDH7A1,OXCT1,PCCA,PCCB,HMGCLL1,AUH,OXCT2,AGXT2,AACS,MCEE",0.0015,0,0
"39","00280_10","Valine, leucine and isoleucine degradation","19","HIBADH,ABAT,ECHS1,EHHADH,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,HIBCH,ACAD8,HADHA,HADH,AOX1,ACADM,ACADS,ACADSB,ALDH6A1,ALDH7A1,AGXT2",0.0015,0,0
"40","00310_3","Lysine degradation","7","AASS,DLST,OGDH,ALDH7A1,AADAT,OGDHL,PHYKPL",0.0015,0,0
"41","00310_6","Lysine degradation","37","EHMT2,PRDM7,EZH1,EZH2,SETD1B,COLGALT2,SETD2,KMT5A,KMT2A,KMT5B,PLOD1,PLOD2,NSD3,ASH1L,KMT2E,PRDM9,KMT2C,SETMAR,NSD1,SUV39H1,NSD2,PRDM2,COLGALT1,SUV39H2,EHMT1,CAMKMT,KMT2D,SETD7,SETDB2,SETD3,DOT1L,KMT5C,PLOD3,PRDM6,SETD1A,KMT2B,SETDB1",0.0015,0,0
"42","00330_1","Arginine and proline metabolism","16","AZIN2,CKB,CKM,CKMT1B,CKMT2,GAMT,GATM,ARG1,ARG2,NOS1,NOS2,NOS3,OAT,ODC1,CKMT1A,AGMAT",0.0015,0,0
"43","00330_5","Arginine and proline metabolism","26","SAT2,AZIN2,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,AOC1,AMD1,GATM,ARG1,ARG2,MAOA,MAOB,NOS1,NOS2,NOS3,OAT,ODC1,ALDH7A1,SMOX,ALDH18A1,SAT1,SMS,SRM,AGMAT,ALDH4A1",0.0015,0,0
"44","00330_6","Arginine and proline metabolism","10","PYCR2,ARG1,ARG2,OAT,ODC1,PRODH,PYCR1,ALDH18A1,PYCR3,ALDH4A1",0.0015,0,0
"45","00330_11","Arginine and proline metabolism","12","GOT1,GOT2,P4HA3,PYCR2,P4HA1,LAP3,PRODH,PYCR1,PRODH2,PYCR3,ALDH4A1,P4HA2",0.0015,0,0
"46","00340_5","Histidine metabolism","18","ALDH2,ALDH3A1,ALDH1B1,ALDH1A3,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,AOC1,HAL,HDC,HNMT,MAOA,MAOB,ALDH7A1,CNDP2,CARNS1,CNDP1",0.0015,0,0
"47","00350_2","Tyrosine metabolism","5","FAH,GSTZ1,HGD,HPD,FAHD1",0.0015,0,0
"48","00350_6","Tyrosine metabolism","20","ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,COMT,DBH,DDC,ALDH3A1,ALDH1A3,LRTOMT,ALDH3B1,ALDH3B2,AOC2,MAOA,MAOB,PNMT,AOC3",0.0015,0,0
"49","00350_8","Tyrosine metabolism","20","COMT,DBH,DDC,ALDH3A1,ALDH1A3,LRTOMT,ALDH3B1,ALDH3B2,IL4I1,GOT1,GOT2,AOC2,MAOA,MAOB,PNMT,TAT,TH,TPO,TYR,AOC3",0.0015,0,0
"50","00380_2","Tryptophan metabolism","9","ECHS1,EHHADH,GCDH,HADHA,HADH,ACAT1,ACAT2,OGDH,OGDHL",0.0015,0,0
"51","00380_5","Tryptophan metabolism","19","INMT,TPH2,AANAT,CYP1A1,CYP1A2,CYP1B1,DDC,IDO2,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,AOX1,IDO1,MAOA,MAOB,ASMT,ALDH7A1,TPH1",0.0015,0,0
"52","00380_8","Tryptophan metabolism","17","INMT,TPH2,AFMID,DDC,IDO2,IL4I1,AOC1,IDO1,MAOA,MAOB,AADAT,KYAT3,TDO2,TPH1,KMO,KYAT1,KYNU",0.0015,0,0
"53","00410_3","beta-Alanine metabolism","24","ABAT,DPYS,ALDH2,ALDH3A1,ALDH1B1,ALDH1A3,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,GAD1,GAD2,AOC2,GADL1,ALDH6A1,ALDH7A1,UPB1,SMOX,CNDP2,CARNS1,SMS,SRM,CNDP1,AOC3",0.0015,0,0
"54","00430_1","Taurine and hypotaurine metabolism","8","GGT6,GAD1,GAD2,GGT1,GGT7,GGT5,CSAD,BAAT",0.0015,0,0
"55","00430_2","Taurine and hypotaurine metabolism","6","CDO1,GAD1,GAD2,GADL1,CSAD,ADO",0.0015,0,0
"56","00450_1","Selenocompound metabolism","8","TXNRD2,TXNRD3,PSTK,SEPHS2,SEPHS1,SEPSECS,SCLY,TXNRD1",0.0015,0,0
"57","00450_2","Selenocompound metabolism","9","TXNRD2,TXNRD3,CTH,MARS,MTR,KYAT3,TXNRD1,KYAT1,MARS2",0.0015,0,0
"58","00480_2","Glutathione metabolism","47","GSTO2,GGT6,GSTA5,G6PD,GPX6,GGT1,GGT7,GGT5,OPLAH,GCLC,GCLM,HPGDS,GPX1,GPX2,GPX3,GPX4,GPX5,GPX7,ANPEP,GSR,GSS,GSTA1,GSTA2,GSTA3,GSTA4,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,GSTP1,GSTT1,GSTT2,IDH1,IDH2,GSTK1,MGST1,MGST2,MGST3,GPX8,CHAC2,LAP3,TXNDC12,PGD,GSTT2B,GGCT,CHAC1,GSTO1",0.0015,0,0
"59","00500_3","Starch and sucrose metabolism","33","AGL,G6PC,GAA,GANC,GBE1,GCK,AMY1A,AMY1B,AMY1C,AMY2A,AMY2B,GPI,PGM2L1,GYG1,GYS1,GYS2,HK1,HK2,HK3,ENPP1,ENPP3,PGM1,PGM2,G6PC2,PYGB,PYGL,PYGM,SI,UGP2,HKDC1,GYG2,MGAM,G6PC3",0.0015,0,0
"60","00510_5","N-Glycan biosynthesis","14","MGAT4B,MGAT4A,MGAT5B,FUT8,B4GALT1,MAN2A2,MAN2A1,MGAT2,MGAT3,MGAT5,ST6GAL1,ST6GAL2,B4GALT3,B4GALT2",0.0015,0,0
"61","00510_7","N-Glycan biosynthesis","13","MAN1A2,MAN1B1,DAD1,DDOST,STT3B,GANAB,STT3A,MAN1A1,MAN1C1,RPN1,RPN2,MOGS,TUSC3",0.0015,0,0
"62","00510_8","N-Glycan biosynthesis","12","MAN1A2,MAN1B1,MGAT4B,MGAT4A,FUT8,MAN1A1,MAN2A2,MAN2A1,MGAT1,MGAT2,MGAT3,MAN1C1",0.0015,0,0
"63","00510_10","N-Glycan biosynthesis","23","ALG3,ALG10B,DAD1,DDOST,DPAGT1,ALG14,STT3B,DOLK,ALG5,ALG6,STT3A,DPM3,ALG1,DOLPP1,RPN1,RPN2,MOGS,ALG8,ALG13,TUSC3,ALG10,DPM1,DPM2",0.0015,0,0
"64","00512_1","Mucin type O-glycan biosynthesis","25","GALNT6,GALNT5,GALNT13,GALNT15,GALNTL5,B3GNT6,GALNT1,GALNT2,GALNT3,GALNT8,GCNT1,GALNT18,GALNTL6,GALNT9,GALNT7,GALNT10,ST6GALNAC1,GALNT16,GALNT11,GALNT17,GALNT14,GALNT12,GALNT4,GCNT3,B4GALT5",0.0015,0,0
"65","00515_1","Mannose type O-glycan biosynthesis","5","POMT1,MGAT5B,POMT2,POMGNT1,POMGNT2",0.0015,0,0
"66","00520_2","Amino sugar and nucleotide sugar metabolism","22","GNPDA1,GNE,CHIT1,GNPDA2,GFPT1,CHIA,HEXA,HEXB,HK1,HK2,HK3,AMDHD2,PGM3,NANS,NAGK,RENBP,GNPNAT1,UAP1,HKDC1,NPL,UAP1L1,GFPT2",0.0015,0,0
"67","00520_4","Amino sugar and nucleotide sugar metabolism","13","GALE,GALT,GCK,GPI,HK1,HK2,HK3,PGM1,PGM2,UGDH,UGP2,UXS1,HKDC1",0.0015,0,0
"68","00520_7","Amino sugar and nucleotide sugar metabolism","19","GNPDA1,GNPDA2,GCK,GFPT1,GPI,GMPPB,GMPPA,HK1,HK2,HK3,MPI,AMDHD2,PGM1,PMM1,PMM2,PGM2,GNPNAT1,HKDC1,GFPT2",0.0015,0,0
"69","00531_1","Glycosaminoglycan degradation","6","HPSE,HGSNAT,IDS,IDUA,HPSE2,SGSH",0.0015,0,0
"70","00531_2","Glycosaminoglycan degradation","5","GALNS,GLB1,GNS,HEXA,HEXB",0.0015,0,0
"71","00531_3","Glycosaminoglycan degradation","8","HYAL4,HYAL1,IDS,IDUA,ARSB,SPAM1,HYAL3,HYAL2",0.0015,0,0
"72","00532_1","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","8","B3GALT6,CHSY1,B3GAT3,CHSY3,CHPF2,CSGALNACT2,CSGALNACT1,CHPF",0.0015,0,0
"73","00532_2","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","7","B4GALT7,B3GALT6,B3GAT3,CSGALNACT2,CSGALNACT1,XYLT1,XYLT2",0.0015,0,0
"74","00561_1","Glycerolipid metabolism","58","AKR1A1,AGPAT1,AGPAT2,CEL,MGLL,MOGAT1,PNLIPRP3,MBOAT2,GPAT4,DGKK,GPAT2,MBOAT1,DGKA,DGKB,DGKG,DGKH,DGKQ,PLPP4,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,AKR1B1,LPIN1,LCLAT1,GK,GK2,MOGAT3,LIPC,LPL,ALDH7A1,PNLIP,PNLIPRP1,PNLIPRP2,AGPAT5,AGK,AGPAT3,AGPAT4,AKR1B10,PNPLA2,GPAM,LPIN3,MOGAT2,PNPLA3,PLPP5,DGAT2,GPAT3,LIPF,DGKZ,DGKE,DGKD,PLPP1,PLPP2,PLPP3,DGAT1,DGKI,LIPG,LPIN2",0.0015,0,0
"75","00563_1","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","15","PIGN,GPLD1,PIGW,PIGP,PIGA,PIGC,PIGH,PIGX,PIGV,PIGY,DPM2,PIGQ,PIGM,PIGL,PIGB",0.0015,0,0
"76","00564_6","Glycerophospholipid metabolism","79","PLA2G4B,LPCAT3,CEPT1,CDS1,PEMT,CDIPT,LYPLA1,AGPAT1,AGPAT2,PNPLA6,PLA2G16,LYPLA2,PLD4,PLA2G4E,MBOAT2,GPAT4,DGKK,GPAT2,PLB1,MBOAT1,DGKA,DGKB,DGKG,DGKH,DGKQ,PLPP4,LPIN1,PLD3,PISD,LCLAT1,LPCAT4,PLA2G4F,PLA2G2D,PLA2G4D,PLA2G2E,PNPLA7,PLA2G2C,LCAT,PLA2G3,PCYT1A,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PLD1,PLD2,CRLS1,LPCAT2,AGPAT5,AGPAT3,AGPAT4,CHPT1,GPAM,PCYT2,PLA2G2F,LPIN3,LPCAT1,PTDSS2,PLA2G12A,PLA2G6,PLA2G10,PLPP5,PLA2G12B,GPAT3,DGKZ,DGKE,DGKD,SELENOI,PLA2G4C,PLPP1,PLPP2,PLPP3,JMJD7-PLA2G4B,CDS2,DGKI,PCYT1B,PGS1,LPIN2,PTDSS1",0.0015,0,0
"77","00590_2","Arachidonic acid metabolism","55","PLA2G4B,PTGES3,PLA2G16,CYP4F8,CYP2U1,PLA2G4E,FAM213B,PLB1,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2E1,CYP2J2,CYP4A11,EPHX2,ALOX12,ALOX5,ALOX12B,ALOX15,ALOX15B,PLA2G4F,GPX6,PLA2G2D,HPGDS,PLA2G4D,GPX1,GPX2,GPX3,GPX5,GPX7,PLA2G2E,PLA2G2C,CYP4F3,GPX8,PLA2G3,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PTGDS,PTGIS,PTGS1,PTGS2,PLA2G2F,TBXAS1,PTGES2,PLA2G12A,PLA2G6,PLA2G10,PLA2G12B,CYP4F2,PLA2G4C,JMJD7-PLA2G4B,PTGES",0.0015,0,0
"78","00600_1","Sphingolipid metabolism","43","CERS1,NEU3,DEGS2,ACER1,NEU4,SGPP2,SGMS2,CERS3,KDSR,CERS6,GALC,SGMS1,GBA,GLA,GLB1,CERS2,ENPP7,ACER2,ARSA,ASAH1,NEU1,NEU2,ACER3,SMPD3,SMPD4,ASAH2,SPHK2,GBA2,CERK,SMPD1,SMPD2,UGCG,UGT8,CERS4,SGPP1,DEGS1,PLPP1,PLPP2,PLPP3,SPHK1,SGPL1,CERS5,B4GALT6,GAL3ST1",0.0015,0,0
"79","00601_8","Glycosphingolipid biosynthesis - lacto and neolacto series","26","B3GALT5,B3GNT3,ST3GAL6,B3GNT2,FUT9,FUT1,FUT2,FUT3,FUT4,FUT5,FUT6,FUT7,B4GALT1,ABO,A4GALT,ST3GAL4,ST3GAL3,ST8SIA1,B3GNT4,B3GNT5,B4GALT4,B4GALT3,B4GALT2,B3GALNT1,B3GALT2,B3GALT1",0.0015,0,0
"80","00603_1","Glycosphingolipid biosynthesis - globo and isoglobo series","13","B3GALT5,A3GALT2,FUT1,FUT2,GBGT1,GLA,HEXA,HEXB,NAGA,A4GALT,ST3GAL1,ST3GAL2,B3GALNT1",0.0015,0,0
"81","00604_3","Glycosphingolipid biosynthesis - ganglio series","11","B4GALNT1,GLB1,ST8SIA5,HEXA,HEXB,ST6GALNAC6,ST3GAL1,ST3GAL2,ST8SIA1,B3GALT4,ST3GAL5",0.0015,0,0
"82","00604_5","Glycosphingolipid biosynthesis - ganglio series","10","ST6GALNAC3,B4GALNT1,ST6GALNAC4,ST8SIA5,ST6GALNAC6,ST3GAL1,ST3GAL2,ST6GALNAC5,B3GALT4,ST3GAL5",0.0015,0,0
"83","00620_1","Pyruvate metabolism","22","ME3,LDHAL6A,LDHD,FH,GLO1,HAGH,LDHA,LDHB,LDHC,MDH1,MDH2,ME1,ME2,PC,PCK1,PCK2,PDHA1,PDHA2,PDHB,PKLR,PKM,LDHAL6B",0.0015,0,0
"84","00620_2","Pyruvate metabolism","19","ACOT12,DLAT,DLD,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,ACACA,ACACB,ACAT1,ACAT2,ALDH7A1,PDHA1,PDHA2,PDHB,ACSS2,ACSS1,ACYP1,ACYP2",0.0015,0,0
"85","00630_1","Glyoxylate and dicarboxylate metabolism","14","HOGA1,GLYCTK,DLD,AGXT,GCSH,GLDC,AMT,PGP,HAO2,HAO1,SHMT1,SHMT2,HYI,GRHPR",0.0015,0,0
"86","00640_1","Propanoate metabolism","7","ABAT,MLYCD,ACACA,ACACB,ACAT1,ACAT2,ALDH6A1",0.0015,0,0
"87","00640_3","Propanoate metabolism","17","DBT,DLD,ECHS1,EHHADH,HADHA,ACADM,ALDH6A1,MUT,PCCA,PCCB,ECHDC1,ACSS2,BCKDHA,BCKDHB,ACSS3,ACSS1,MCEE",0.0015,0,0
"88","00640_4","Propanoate metabolism","17","LDHAL6A,DBT,DLD,ACADM,LDHA,LDHB,LDHC,ALDH6A1,PCCA,PCCB,ECHDC1,ACSS2,BCKDHA,BCKDHB,ACSS3,ACSS1,LDHAL6B",0.0015,0,0
"89","00640_5","Propanoate metabolism","14","DBT,ACADM,ALDH6A1,MUT,PCCA,PCCB,ECHDC1,ACSS2,ACSS3,ACSS1,MCEE,SUCLG2,SUCLG1,SUCLA2",0.0015,0,0
"90","00650_3","Butanoate metabolism","19","ACSM1,ACSM2A,ACSM6,ECHS1,EHHADH,HADHA,HADH,HMGCS1,HMGCS2,ACSM4,ACSM2B,ACADS,ACAT1,ACAT2,OXCT1,ACSM5,ACSM3,OXCT2,AACS",0.0015,0,0
"91","00670_1","One carbon pool by folate","19","MTHFS,MTHFD2,ALDH1L1,FTCD,MTFMT,ALDH1L2,DHFR,DHFR2,MTHFD1L,GART,AMT,MTHFD2L,MTHFD1,MTHFR,MTR,ATIC,SHMT1,SHMT2,TYMS",0.0015,0,0
"92","00730_1","Thiamine metabolism","14","AK7,AK8,AK1,AK2,AK4,ALPI,ALPL,ALPP,ALPPL2,AK5,TPK1,ACP1,THTPA,NTPCR",0.0015,0,0
"93","00740_1","Riboflavin metabolism","8","ENPP1,ENPP3,ACP1,ACP2,ACP5,RFK,BLVRB,FLAD1",0.0015,0,0
"94","00750_1","Vitamin B6 metabolism","5","AOX1,PHOSPHO2,PNPO,PDXP,PDXK",0.0015,0,0
"95","00760_2","Nicotinate and nicotinamide metabolism","27","NAMPT,NT5C3B,NADK2,NT5C2,NMNAT2,QPRT,NNT,NMRK2,NT5C,NMNAT3,NNMT,PNP,NT5E,NT5C3A,ENPP1,ENPP3,NMRK1,NADSYN1,NT5M,NMNAT1,NADK,BST1,NUDT12,NT5C1A,NT5C1B,NAPRT,CD38",0.0015,0,0
"96","00770_2","Pantothenate and CoA biosynthesis","12","ENPP1,ENPP3,PANK1,PANK4,PPCDC,AASDHPPT,PANK3,PPCS,PANK2,COASY,VNN2,VNN1",0.0015,0,0
"97","00790_2","Folate biosynthesis","20","TPH2,DHFR,DHFR2,AKR1B1,ALPI,ALPL,ALPP,ALPPL2,GCH1,PAH,PCBD1,AKR1B10,PTS,QDPR,SPR,TH,TPH1,PCBD2,AKR1C3,CBR1",0.0015,0,0
"98","00830_2","Retinol metabolism","60","DHRS9,UGT2B11,DHRS4,UGT2A1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,RDH12,CYP1A1,CYP1A2,CYP2A6,CYP3A7,CYP2B6,CYP2C8,CYP2C9,CYP2C18,RDH10,CYP3A4,CYP3A5,CYP4A11,CYP26A1,SDR16C5,ALDH1A1,CYP2S1,AOX1,DHRS4L2,CYP26C1,RDH8,RDH11,BCO1,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,RETSAT,CYP26B1,UGT2A2,RPE65,DHRS4L1,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3,PNPLA4,RDH16,HSD17B6,ALDH1A2,LRAT,DHRS3",0.0015,0,0
"99","00860_2","Porphyrin and chlorophyll metabolism","24","UGT2B11,UGT2A1,GUSB,HMOX1,HMOX2,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,UGT2A2,BLVRA,BLVRB,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3",0.0015,0,0
"100","00860_3","Porphyrin and chlorophyll metabolism","9","COX10,COX15,CP,CPOX,FECH,FXN,HCCS,PPOX,HEPH",0.0015,0,0
"101","00860_6","Porphyrin and chlorophyll metabolism","6","CPOX,ALAD,HMBS,PPOX,UROD,UROS",0.0015,0,0
"102","00860_7","Porphyrin and chlorophyll metabolism","6","ALAD,ALAS1,ALAS2,HMBS,UROD,UROS",0.0015,0,0
"103","00900_1","Terpenoid backbone biosynthesis","7","PMVK,HMGCR,HMGCS1,HMGCS2,ACAT1,ACAT2,MVK",0.0015,0,0
